,major, class
10009,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 305
10010,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 404
10011,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 431
10012,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 354
10013,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 356
10014,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 362
10015,Apparel Merchandising- Design B.S. - creative and technical design option,ACCT 284
10016,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 222
10017,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 272
10018,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 340
10019,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
10020,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 472
10021,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 474
10022,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 257
10023,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 305
10024,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 328
10025,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 362
10026,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 377
10027,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 404
10028,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 426
10029,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 431
10030,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 467
10031,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 490
10032,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 496
10033,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 499
10034,Apparel Merchandising- Design B.S. - creative and technical design option,THTRE 255
10035,Apparel Merchandising- Design B.S. - creative and technical design option,THTRE 357
10036,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 121
10037,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 178
10038,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 206
10039,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 305
10040,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 321
10041,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 415
10042,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 431
10043,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 496
10044,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 340
10045,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 225
10046,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 376
10047,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 467
10048,Apparel Merchandising- Design B.S. - creative and technical design option,ACCT 284
10049,Apparel Merchandising- Design B.S. - creative and technical design option,SCM 301
10050,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 222
10051,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 381
10052,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
10053,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 474
10054,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 377
10055,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 475
10056,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 477
10057,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 490
10058,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 499
10059,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 474
10060,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 278
10061,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 310
10062,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 328
10063,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 329
10064,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 404
10065,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 225
10066,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 328
10067,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 490
10068,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 499
10069,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 521
10070,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 565
10071,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 381
10072,Apparel Merchandising- Design B.S. - creative and technical design option,ENV S 334
10073,Apparel Merchandising- Design B.S. - creative and technical design option,IND D 334
10074,Apparel Merchandising- Design B.S. - creative and technical design option,T SC 220
10075,Apparel Merchandising- Design B.S. - creative and technical design option,T SC 342
10076,Apparel Merchandising- Design B.S. - creative and technical design option,ACCT 284
10077,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 340
10078,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 474
10079,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 356
10080,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 376
10081,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 377
10082,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 467
10083,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 475
10084,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 477
10085,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 175N
10086,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 211
10087,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 222
10088,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 270N
10089,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 272
10090,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 287
10091,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 342
10092,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 380
10093,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 381
10094,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 438
10095,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
10096,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 472
10097,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 121
10098,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 178
10099,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 225
10100,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 257
10101,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 278
10102,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 305
10103,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 321
10104,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 354
10105,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 362
10106,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 404
10107,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 431
10108,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 490
10109,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 496
10110,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 499
10111,Apparel Merchandising- Design B.S. - creative and technical design option,ACCT 215
10112,Apparel Merchandising- Design B.S. - creative and technical design option,ACCT 285
10113,Apparel Merchandising- Design B.S. - creative and technical design option,ADVRT 230
10114,Apparel Merchandising- Design B.S. - creative and technical design option,ADVRT 301
10115,Apparel Merchandising- Design B.S. - creative and technical design option,ADVRT 334
10116,Apparel Merchandising- Design B.S. - creative and technical design option,ANTHR 201
10117,Apparel Merchandising- Design B.S. - creative and technical design option,ANTHR 220
10118,Apparel Merchandising- Design B.S. - creative and technical design option,ANTHR 230
10119,Apparel Merchandising- Design B.S. - creative and technical design option,ART H 280
10120,Apparel Merchandising- Design B.S. - creative and technical design option,ART H 281
10121,Apparel Merchandising- Design B.S. - creative and technical design option,ART H 292
10122,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 203
10123,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 208
10124,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 210
10125,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 212
10126,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 214
10127,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 324
10128,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 345
10129,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 346
10130,Apparel Merchandising- Design B.S. - creative and technical design option,ARTIS 347
10131,Apparel Merchandising- Design B.S. - creative and technical design option,DSN S 102
10132,Apparel Merchandising- Design B.S. - creative and technical design option,DSN S 131
10133,Apparel Merchandising- Design B.S. - creative and technical design option,DSN S 183
10134,Apparel Merchandising- Design B.S. - creative and technical design option,BUSAD 250
10135,Apparel Merchandising- Design B.S. - creative and technical design option,CHIN 101
10136,Apparel Merchandising- Design B.S. - creative and technical design option,CHIN 102
10137,Apparel Merchandising- Design B.S. - creative and technical design option,CHIN 201
10138,Apparel Merchandising- Design B.S. - creative and technical design option,CHIN 202
10139,Apparel Merchandising- Design B.S. - creative and technical design option,COMST 101
10140,Apparel Merchandising- Design B.S. - creative and technical design option,COMST 102
10141,Apparel Merchandising- Design B.S. - creative and technical design option,COMST 203
10142,Apparel Merchandising- Design B.S. - creative and technical design option,C R P 201
10143,Apparel Merchandising- Design B.S. - creative and technical design option,C R P 291
10144,Apparel Merchandising- Design B.S. - creative and technical design option,C R P 293
10145,Apparel Merchandising- Design B.S. - creative and technical design option,ECON 102
10146,Apparel Merchandising- Design B.S. - creative and technical design option,ECON 301
10147,Apparel Merchandising- Design B.S. - creative and technical design option,EVENT 212X
10148,Apparel Merchandising- Design B.S. - creative and technical design option,EVENT 271
10149,Apparel Merchandising- Design B.S. - creative and technical design option,EVENT 371
10150,Apparel Merchandising- Design B.S. - creative and technical design option,EVENT 471
10151,Apparel Merchandising- Design B.S. - creative and technical design option,FIN 301
10152,Apparel Merchandising- Design B.S. - creative and technical design option,FIN 310
10153,Apparel Merchandising- Design B.S. - creative and technical design option,FIN 320
10154,Apparel Merchandising- Design B.S. - creative and technical design option,GER 101
10155,Apparel Merchandising- Design B.S. - creative and technical design option,GER 102
10156,Apparel Merchandising- Design B.S. - creative and technical design option,GER 201
10157,Apparel Merchandising- Design B.S. - creative and technical design option,GER 202
10158,Apparel Merchandising- Design B.S. - creative and technical design option,HIST 202
10159,Apparel Merchandising- Design B.S. - creative and technical design option,HIST 202
10160,Apparel Merchandising- Design B.S. - creative and technical design option,HIST 221
10161,Apparel Merchandising- Design B.S. - creative and technical design option,HIST 222
10162,Apparel Merchandising- Design B.S. - creative and technical design option,INTST 235
10163,Apparel Merchandising- Design B.S. - creative and technical design option,INTST 430
10164,Apparel Merchandising- Design B.S. - creative and technical design option,JL MC 101
10165,Apparel Merchandising- Design B.S. - creative and technical design option,JL MC 242
10166,Apparel Merchandising- Design B.S. - creative and technical design option,LD ST 122
10167,Apparel Merchandising- Design B.S. - creative and technical design option,LD ST 270
10168,Apparel Merchandising- Design B.S. - creative and technical design option,LD ST 322
10169,Apparel Merchandising- Design B.S. - creative and technical design option,LD ST 333
10170,Apparel Merchandising- Design B.S. - creative and technical design option,MGMT 310
10171,Apparel Merchandising- Design B.S. - creative and technical design option,MGMT 370
10172,Apparel Merchandising- Design B.S. - creative and technical design option,MGMT 372
10173,Apparel Merchandising- Design B.S. - creative and technical design option,MIS 301
10174,Apparel Merchandising- Design B.S. - creative and technical design option,MIS 307
10175,Apparel Merchandising- Design B.S. - creative and technical design option,MIS 310
10176,Apparel Merchandising- Design B.S. - creative and technical design option,MKT 443
10177,Apparel Merchandising- Design B.S. - creative and technical design option,MKT 444
10178,Apparel Merchandising- Design B.S. - creative and technical design option,MKT 447
10179,Apparel Merchandising- Design B.S. - creative and technical design option,P R 220
10180,Apparel Merchandising- Design B.S. - creative and technical design option,P R 305
10181,Apparel Merchandising- Design B.S. - creative and technical design option,PSYCH 101
